test,algorithm,temperature,relative_upper_bound,uids,objective_value,largely_recommended,reliability,importance,engaging,pedagogy,layman_friendly,entertaining_relaxing,better_habits,diversity_inclusion,backfire_risk
1,random_greedy T=0.001 c=10,0.001,10.0,"['yt:6wS7QzWlaXQ', 'yt:jSWFkGY6O-0', 'yt:K9UE2WD6nu8', 'yt:t0yPqAkoaGY', 'yt:lJoO8hWWC3U', 'yt:yuCPYMnOZz4', 'yt:FOi05zDO4yw', 'yt:jsOZhKxGC5w', 'yt:5HgVfgFUYOw', 'yt:Od0i_zrKsV0', 'yt:ILgSesWMUEI', 'yt:7CIvfkOdmHo']",3.125784131255024,0.8065097206041275,0.7927612681620918,0.7411497649976118,0.7577170660802731,0.8452278387071478,0.8162671509467345,0.6514371385585438,0.7741532507506842,0.4712208248873282,0.6531513491449163
1,random_greedy T=0.001 c=130,0.001,130.0,"['yt:5TbUxGZtwGI', 'yt:8YHFGYh1c6I', 'yt:MrzDPQFG57w', 'yt:WFLy1UrDmXo', 'yt:ltDURpwvYtM', 'yt:0LJwDzurnPs', 'yt:NTUIOgLHEFU', 'yt:YVlZZnCSrIE', 'yt:ghIQzrHzwTk', 'yt:4wR9hWduhuQ', 'yt:1702hNn98ck', 'yt:45IGXDmj9qQ']",11.299747746439039,0.8787341390498703,0.8023290528542419,0.7951295356713637,0.8499003053115748,0.9136639576250906,0.8812500606836449,0.7966831379132376,0.7849280168559618,0.44631085327493475,0.786039099085717
1,random_greedy T=0.001 c=250,0.001,250.0,"['yt:n-A2GbOSg-g', 'yt:R6OeG8P0pIM', 'yt:PN8-fBE50Yg', 'yt:KyeJTbFCSv0', 'yt:3cb38Wv8Ahw', 'yt:DuagMnusZlk', 'yt:850Zr6dzxYU', 'yt:EvknN89JoWo', 'yt:7WdIsIxur-E', 'yt:jQ7VBQjdOyc', 'yt:mxWbFG32_dw', 'yt:45IGXDmj9qQ']",4.6199038735254305,0.7836696159122105,0.8067609587736703,0.7099738375383785,0.7920142832700932,0.9499139840334812,0.8743784613106622,0.8177249105299973,0.7654737049846104,0.4703596723153047,0.8176288236048692
1,random_greedy T=0.001 c=370,0.001,370.0,"['yt:_UESRNRLfo4', 'yt:WP6T4MH0Dn4', 'yt:U2as7PjzYIU', 'yt:rd6Z0HQenuM', 'yt:QEYBMXZG6yY', 'yt:YetbMdTGdqI', 'yt:XFqn3uy238E', 'yt:DjwxOH3N-gc', 'yt:ghIQzrHzwTk', 'yt:64xNugjI6jc', 'yt:zmCl5i_sEiM', 'yt:cdSnF-6SW8o']",29.5934784952898,0.8925349292417167,0.8148720106461727,0.7859640436913534,0.8487921675728165,0.921962607024294,0.8521569385105497,0.8297336169687353,0.7800286038549826,0.5427167432672605,0.7855966681440261
1,random_greedy T=0.001 c=500,0.001,500.0,"['yt:nAO21ec1lqc', 'yt:_f6HzL0Nh2g', 'yt:pnVEnLm9aWA', 'yt:Izxcpn4JEZ8', 'yt:_MC_3rWUJ6Y', 'yt:_Ciho12BPmk', 'yt:y6f3dwxexZM', 'yt:OAyYSlMhgI4', 'yt:P3to46JLDu8', 'yt:ajst4ZNjrhM', 'yt:_jGbRsxHi7Q', 'yt:OzxuyvuPfbc']",19.03038162494448,0.7617006364384384,0.8066103781083042,0.758293076109362,0.7894046288269198,0.9069951067330086,0.8610812614630343,0.7878371450607667,0.7830800263766061,0.4432630168183861,0.7789663626419808
1,r_75,,,"['yt:1awxwKia7og', 'yt:wtJwVZGuiOY', 'yt:1PGm8LslEb4', 'yt:3wrrmKo2IS8', 'yt:Euwztpe2JtY', 'yt:4wR9hWduhuQ', 'yt:1MUsNiddQHA', 'yt:pnVEnLm9aWA', 'yt:sNhhvQGsMEc', 'yt:oH10ZxWJdZI', 'yt:x3rptRn6GeA', 'yt:iuAt0XF6U0k']",91.68610280790153,0.8524586979426138,0.8066103781083042,0.7966633668357365,0.844468237160479,0.9067816332357551,0.8580299048566504,0.8159368067745479,0.7900936290504132,0.45349864266820833,0.8240669184176228
1,random_greedy T=0.0005 c=10,0.0005,10.0,"['yt:PN8-fBE50Yg', 'yt:ETD-aNGw8Ng', 'yt:OofAmov1Edw', 'yt:VBoc6dQKmTo', 'yt:6p8zAbFKpW0', 'yt:xHsPMjWwIWs', 'yt:DwqwRYe6fKA', 'yt:ElJrJyZ8Oa4', 'yt:LIEzWorFANc', 'yt:S5gfPbPMjN0', 'yt:fTfapvfyxEQ', 'yt:7CIvfkOdmHo']",-9.417672267179704,0.8156895021599266,0.811678493649681,0.788979059344982,0.8246575650829545,0.9076777146410081,0.8550934893042014,0.8405835280830242,0.719690632865428,0.43504496959659145,0.7789415342314155
1,random_greedy T=0.0005 c=130,0.0005,130.0,"['yt:8y67NFHpxwI', 'yt:8YHFGYh1c6I', 'yt:nAm3ud-6JdU', 'yt:JXeJANDKwDc', 'yt:Y_hVOm5bsMc', 'yt:396Zm7w2cNo', 'yt:XFqn3uy238E', 'yt:fOhZIqO1S9E', 'yt:mkmL6s0g9Hk', 'yt:2ohiGNnFTKI', 'yt:9CO6M2HsoIA', 'yt:d07ijTWMwnc']",2.8931842333081903,0.8272426998015776,0.8073782080411569,0.7822359669961492,0.8339416508499192,0.9097434750290686,0.8573872066976309,0.8385347101337627,0.7812559788209695,0.439365432835691,0.7968330288246644
1,random_greedy T=0.0005 c=250,0.0005,250.0,"['yt:S5gfPbPMjN0', 'yt:J5LodnKnLYU', 'yt:GuTgfnkILGs', 'yt:U5mrc8sFzVc', 'yt:eazVPmvLl6Q', 'yt:AIq3x2_ZORI', 'yt:sYJ_0QqU8cs', 'yt:C_UTlTiVQ_0', 'yt:PKduzmo1aNs', 'yt:Mf2cxR9BWa4', 'yt:rJ_i_FbU9ZE', 'yt:rJnWg9fLxlk']",12.43097090597093,0.8721351404736681,0.808798922353891,0.7948789979771966,1.0,0.8959492654158252,0.8600839475081742,0.8079689958036136,0.861446335377863,0.46290128037814293,0.7777280382343795
1,random_greedy T=0.0005 c=370,0.0005,370.0,"['yt:9wzRjA9rsKc', 'yt:6nuBccQB4sk', 'yt:HRIFrljzh_s', 'yt:rJ_i_FbU9ZE', 'yt:rtsw8rA5x7c', 'yt:t0yPqAkoaGY', 'yt:MJCbaWcE5-w', 'yt:GT4LhyKFN5U', 'yt:F7pYHN9iC9I', 'yt:5N44LOHTw8M', 'yt:DcYVLYMxzH4', 'yt:OIc0AWrxGFY']",16.63801803407355,0.8721845521073646,0.7927612681620918,0.799719636219968,0.8290550124843132,0.9010025754158325,0.8615716349684374,0.7997516907332841,0.6919472574930975,0.4268078782764682,0.8000932000334677
